Model,City,Year,BodyType,milage range,Stroke,Mileage,Price,price in word
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,12000,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2019,Standard,between 40001 to 60000,4 Stroke,68000,125000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,7500,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2014,Standard,between 1 to 20000,4 Stroke,1234,95000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,14,155000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,1990,Standard,between 40001 to 60000,4 Stroke,99999,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,11000,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 1 to 20000,4 Stroke,9000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,3500,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,13500,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Rawalpindi,2013,Standard,between 40001 to 60000,4 Stroke,100000,62000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Karachi,2011,Standard,between 1 to 20000,4 Stroke,7000,30000,From Thirty Thousand To Sixty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,7000,135000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,3700,138000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,1210,162000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Lahore,2013,Standard,between 40001 to 60000,4 Stroke,100000,60000,From Thirty Thousand To Sixty Thousand
Honda CD 70,Rawalpindi,2020,Standard,between 1 to 20000,4 Stroke,12500,55000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,10900,168000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2015,Standard,between 40001 to 60000,4 Stroke,57000,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,5500,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Karachi,2020,Standard,between 40001 to 60000,4 Stroke,50000,105000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,6659,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2015,Standard,between 40001 to 60000,4 Stroke,432927,48299,From Thirty Thousand To Sixty Thousand
Honda CD 70,Karachi,2021,Standard,between 1 to 20000,4 Stroke,18000,97000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,18200,120000,From Ninty Thousand To  One Lac Twenty Thousand
